#                <userDataType codeMap="center=0,mid-east=1,north=2,north-east=3,south=4,south-east=5,? = 0 1 2 3 4 5 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="6"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="6" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.16666666666666666</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG2_BI_fin_v23_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	rateIndicator.location.11	rateIndicator.location.12	rateIndicator.location.13	rateIndicator.location.14	rateIndicator.location.15	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	relativeGeoRates.location.11	relativeGeoRates.location.12	relativeGeoRates.location.13	relativeGeoRates.location.14	relativeGeoRates.location.15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_north-east	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG2_BI_fin_v23_seqs	gammaShape.SubG2_BI_fin_v23_seqs	freqParameter.SubG2_BI_fin_v23_seqs.1	freqParameter.SubG2_BI_fin_v23_seqs.2	freqParameter.SubG2_BI_fin_v23_seqs.3	freqParameter.SubG2_BI_fin_v23_seqs.4	rateAC.SubG2_BI_fin_v23_seqs	rateAG.SubG2_BI_fin_v23_seqs	rateAT.SubG2_BI_fin_v23_seqs	rateCG.SubG2_BI_fin_v23_seqs	rateGT.SubG2_BI_fin_v23_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-44370.40354431018	-44107.62708866034	-262.77645564984516	-43951.97963811943	0.8101523856891556	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0.4462262199380222	0.5441921616672656	1.173076648671869	0.1508983962725687	2.238171612227301	0.4697440642861079	1.2887100950300532	0.99555338884139	1.8545927438911978	0.6633808632424818	3.060115853766317	1.069673143404149	1.2354872305678273	0.22481483284084927	0.6382261454078844	5.043732001182347	0.4462262199380222	0.5441921616672656	1.173076648671869	0.0	0.0	0.0	0.0	0.99555338884139	1.8545927438911978	0.0	0.0	0.0	1.2354872305678273	0.0	0.6382261454078844	4.0507670714887546E-4	0.024060431090206127	0.29612481235789245	0.17965677672518457	0.19459882544644766	0.3296195854704754	0.0831526014057929	0.2890422203617496	0.03289077107663329	0.016314063005254804	0.18177496555199119	-232.6532221520769	8.423393675357824	28.27387937148067	20.46021091583955	7.4968437690986836	5.626850838983388	2.2328111008467366	1.1477359467003307	0.35099052296905486	0.35238054976495764	0.20484291881542493	12	12	12	12	12	12	12	12	12	11	5.109878865743485	
360000	-44362.60481795772	-44108.96581181747	-253.6390061402505	-43958.01945287069	0.8315541732164626	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0.6205566197501605	1.033097788262804	2.1756262762127325	1.7723644856594554	0.5393531342604744	1.7326224355108695	0.34761300865885847	1.70021558564117	0.17854440930525542	0.4744419208676973	0.5462994213313936	0.9938671100479033	2.1022369785175705	0.40793809539856607	0.31040553752457933	2.5393498511174886	0.6205566197501605	1.033097788262804	2.1756262762127325	0.0	0.0	0.0	0.0	0.0	0.17854440930525542	0.0	0.0	0.0	2.1022369785175705	0.40793809539856607	0.31040553752457933	5.221528202885489E-4	0.10421253576485727	0.29609127847262484	0.18249909988026675	0.19532297102145862	0.32608665062564984	0.042711244945344305	0.3332100641748103	0.024486999777303838	0.010659510731801939	0.16405676854191953	-228.2612281287141	30.6830402648991	14.906300796340739	11.06982154542649	7.357423195118024	5.882218813634832	1.9549137200024236	1.4252480500656268	0.41968955991566453	0.4435977113950862	0.18576769252215972	12	12	12	12	12	12	12	12	12	11	2.76430068548467	
720000	-44372.23476013799	-44098.55660252685	-273.67815761113667	-43945.508583361276	0.7699183334468481	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0.7238849074724768	0.970891036412313	2.1826038174976006	0.009773749750202624	0.7642507621101395	0.8023184129515729	2.6576044538912846	0.34854455291880326	1.1241693060516074	2.1272992196060727	0.17840036605554813	0.4627922669579163	2.8998874676004323	0.2793813114243147	0.7188484527548384	1.7195682393250666	0.7238849074724768	0.970891036412313	2.1826038174976006	0.0	0.7642507621101395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8998874676004323	0.0	0.7188484527548384	4.692716596931796E-4	0.01722653013274744	0.3020457681158901	0.17884127586010629	0.19635587453503808	0.32275708148896576	0.06124832020168147	0.26469940894947286	0.024449328461320096	0.032708248618463116	0.14827754920866673	-240.27316172857195	10.333507516773354	11.648175558045308	15.808301154548946	3.5731511530191886	4.482022648270189	2.579368474311662	0.9814516223188499	0.8572420193152792	0.46152736725466825	0.16974674486527305	12	12	12	12	12	12	12	12	12	11	20.996425001536064	
1080000	-44371.35916867615	-44095.008977084755	-276.3501915913928	-43938.87478287819	0.9327051943641445	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0.8443844772497774	0.5675540695054802	2.1205351107630546	0.9305155788099806	0.5120884907664737	0.029392239288668333	1.9990292613635288	1.5285515902546594	0.3343312277679707	0.6677322490887706	3.6530497266177613	0.08462155954423699	0.4725876998794808	0.3836492467777798	0.9535924781879677	2.0589693030829843	0.8443844772497774	0.5675540695054802	2.1205351107630546	0.9305155788099806	0.0	0.0	0.0	0.0	0.3343312277679707	0.0	0.0	0.0	0.0	0.0	0.9535924781879677	3.975718047025083E-4	0.06233396519284726	0.2970476314544954	0.17901623952821116	0.19541877940297148	0.3285173496143222	0.05417739252703546	0.2839368673815713	0.016738290667119977	0.028372813666849572	0.20231838403625524	-251.21700920616064	19.593302286486207	36.88992277423855	15.343050769560437	12.735282222922008	2.7916849614784347	3.7582669548108028	1.4955972689458814	0.5699679366295435	0.2298648118287568	0.28071192433806297	12	12	12	12	12	12	12	12	12	11	2.848026135188412	
1440000	-44374.936835453795	-44087.89018626274	-287.0466491910578	-43938.118557044305	0.9832877669810383	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	2.533589037482341	0.33367435800478734	0.8968472896940377	0.47579245235414486	0.1732570476545998	0.7472478895391466	0.5349746442943614	0.6688706917092194	2.2039858760940567	0.010003644139102893	0.0861021048105778	0.7016985545953233	0.7713437149145891	1.2976861027630633	2.7083971526128154	4.6864003407128	0.0	0.33367435800478734	0.8968472896940377	0.47579245235414486	0.0	0.0	0.5349746442943614	0.0	2.2039858760940567	0.010003644139102893	0.0	0.0	0.0	0.0	2.7083971526128154	4.4659724780451407E-4	0.02314082940421305	0.2966764767647044	0.18070757225045808	0.1934434027255699	0.3291725482592679	0.033874087785595454	0.32672223900123576	0.018825156629956336	0.013327532954155183	0.1651643840698373	-258.2750870418769	10.242416370824797	29.550624223263835	11.280077287876955	7.090882619337148	3.096295898258307	3.40384314315053	2.2548988938137615	0.9583352855819727	0.8623989249008477	0.26474588137427385	12	12	12	12	12	12	12	12	12	11	9.639493066252069	
1800000	-44385.10886524781	-44110.41684753974	-274.69201770806615	-43955.43033009583	0.7912774697647434	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0.8341170251616913	2.7850966337713454	3.472713609457552	1.3349503325900505	1.0244681431166391	0.3542825318556876	0.45906631728350955	0.27230390376643154	0.054541519080560014	1.8002989809434433	0.9313146242843872	0.4644440078723311	0.6821468568999546	0.7186943664066447	0.15418366376114856	1.4803808198294481	0.8341170251616913	2.7850966337713454	3.472713609457552	1.3349503325900505	1.0244681431166391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6821468568999546	0.0	0.15418366376114856	4.2542680968094926E-4	0.0637863061470936	0.3020906400058861	0.18112770311586135	0.19486406908766987	0.3219175877905829	0.05566636971956273	0.2591616697394968	0.02793870564157702	0.007772848932064334	0.14273047651467108	-251.56530897002682	25.023826721197533	28.565017444642038	12.395478772082628	7.170550183954597	2.1149666681909283	2.1827449477899257	0.7422681192742808	0.38061435972580127	0.7173815612378672	0.27933183010067836	12	12	12	12	12	12	12	12	12	11	1.1805637330229457	
2160000	-44374.08591146777	-44110.53377713236	-263.5521343354121	-43954.033728286566	0.8189932492882417	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0.04278612591843724	0.4418479629784244	0.9976837914870011	0.40621368205625796	0.2172370124097511	2.020167384385112	0.20860981362020556	1.5199231890571778	0.8850402221543595	0.20451523118638082	0.9805942516766789	1.4789182074701464	0.40890171951453375	0.07073776442173713	0.6612911332124457	3.852628241905477	0.04278612591843724	0.4418479629784244	0.9976837914870011	0.40621368205625796	0.0	0.0	0.20860981362020556	1.5199231890571778	0.8850402221543595	0.20451523118638082	0.0	0.0	0.0	0.07073776442173713	0.0	4.323994718732559E-4	0.13952666574575354	0.29754480631893027	0.18233676008268054	0.19630436229140327	0.32381407130698603	0.08046612840090568	0.28661654625973915	0.03305485292219095	0.03237712478404676	0.15559737729886633	-237.1657210423822	15.751370417252586	19.363931442580448	8.262324751760506	24.073742458134664	5.0573859929652265	2.4264693718029275	0.7412808536081917	0.5476089978207508	0.26356630926417957	0.10629261236898803	12	12	12	12	12	12	12	12	12	11	2.7374889867770142	
2520000	-44341.1646284098	-44083.46521795674	-257.6994104530589	-43937.01275930839	0.7357903182600216	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1.2470516553708877	0.46886391283954293	0.6367224702760185	0.5311703513959357	1.1410047533890197	1.542267973468783	0.1077677342613422	1.295438436930071	3.4107004026201126	0.03179319301260431	0.2679386786933703	1.4234862688606749	0.8906181782578171	1.7078678518474721	0.6729127585341617	2.7318760307411245	0.0	0.46886391283954293	0.6367224702760185	0.5311703513959357	0.0	0.0	0.1077677342613422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6729127585341617	4.587451815256432E-4	0.03627338301715785	0.29539520192316177	0.18096304289359894	0.19481423791349287	0.3288275172697465	0.045830109761588966	0.3168144492107162	0.02542945606204833	0.02507988046069206	0.18099016218569583	-232.3930521435785	9.815291118001758	16.99165370555215	14.90806582114909	5.797996479266999	5.821554270455838	1.3747155135180935	1.4672238762270104	0.8739172427269303	0.33969977104553223	0.1194627424978622	12	12	12	12	12	12	12	12	12	11	2.7050726603436126	
2880000	-44393.91520236056	-44097.54467037735	-296.370531983205	-43941.34740982798	0.8684026562991028	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1.5612791956986787	0.8436130586076263	3.319967751250022	1.5867827466278088	1.0500964464899107	1.6564878344210112	0.629051999262924	0.21710533441558003	0.50921097777183	1.0320451060154527	0.5538902610457147	1.5348471188483592	1.488399438575408	0.5348950846840765	1.5306708100164892	2.315095608159429	0.0	0.8436130586076263	3.319967751250022	1.5867827466278088	0.0	0.0	0.629051999262924	0.21710533441558003	0.0	0.0	0.0	0.0	0.0	0.5348950846840765	1.5306708100164892	3.6962314119990433E-4	0.04370770644298411	0.3021711088173496	0.1785836094970202	0.19438203954956243	0.32486324213606793	0.07916057539094039	0.28124700973875355	0.0181944323261828	0.011566214441301891	0.17550319289306723	-261.3684547270329	20.525722560019595	26.61407359505048	21.670387120495654	7.2550267564972994	2.5189606194145857	2.1564631923178927	0.7990301538481522	0.9288902435901712	0.48071742611104223	0.3739208697153984	12	12	12	12	12	12	12	12	12	11	17.623648142606523	
3240000	-44351.09013901341	-44092.603123379056	-258.4870156343532	-43948.04181643095	0.7425685028001962	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0.19847107367510403	0.3960805434358122	0.69456240859882	0.13602646176499347	0.1775173196236798	0.2799845079677763	0.1841787985879775	0.21369257883963008	0.9696858075636487	2.045013615172844	1.3010932957349506	0.7443914291426246	0.38127075510718317	0.8262535279512606	0.9396398801618804	2.490665529010837	0.19847107367510403	0.3960805434358122	0.69456240859882	0.13602646176499347	0.1775173196236798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38127075510718317	0.0	0.9396398801618804	4.6490339183156363E-4	0.09179292686241561	0.3025091743996691	0.17560856075365266	0.19621014513945273	0.3256721197072258	0.08369504117701264	0.3140922116782436	0.012199289152599747	0.010730706970137241	0.1791540085581994	-235.66289248445017	20.48298739515857	26.94767846929085	15.92839241944805	6.912004539943767	1.9004284454342557	2.179396838501174	0.7111313159237806	1.1433341352994852	0.3131686483065849	0.12759669633388063	12	12	12	12	12	12	12	12	12	11	7.290669888732852	
