#                <userDataType codeMap="center=0,mid-east=1,north=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Lambda_BI_fin_v23_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.Lambda_BI_fin_v23_seqs	gammaShape.Lambda_BI_fin_v23_seqs	freqParameter.Lambda_BI_fin_v23_seqs.1	freqParameter.Lambda_BI_fin_v23_seqs.2	freqParameter.Lambda_BI_fin_v23_seqs.3	freqParameter.Lambda_BI_fin_v23_seqs.4	rateAC.Lambda_BI_fin_v23_seqs	rateAG.Lambda_BI_fin_v23_seqs	rateAT.Lambda_BI_fin_v23_seqs	rateCG.Lambda_BI_fin_v23_seqs	rateGT.Lambda_BI_fin_v23_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
3600000	-47484.97590424727	-47099.6439567446	-385.3319475026717	-46881.5234493709	0.7197203472665361	1	1	1	1	0	0	0	1	0	0	0.33478913278448813	1.6490265900827257	0.7748060542362951	1.0905879654094497	0.16064439833996805	0.3555397219980496	1.0975152611933492	0.15949523070465213	0.08234587501785201	0.005537124044204157	1.1238613027602058	0.33478913278448813	1.6490265900827257	0.7748060542362951	1.0905879654094497	0.0	0.0	0.0	0.15949523070465213	0.0	0.0	4.3806675477766623E-4	0.06729146128809482	0.2946715882281125	0.1800406104700687	0.19840383425847083	0.32688396704334816	0.06287424181110925	0.2672242917483884	0.027323390393111508	0.06592977056974098	0.16252320767075504	-362.3405663966794	37.85337377944648	78.50899749467628	18.99856099189976	11.26321863245559	7.393136606802017	1.1412441067500618	0.9653092313517223	0.394897955317415	0.09359357502574289	0.07362576346987554	19	18	18	18	18	18	18	18	18	18	19.229038628984306	
3960000	-47498.28706393293	-47095.973203618545	-402.3138603143833	-46880.2129498382	0.7222941798707568	0	1	1	1	0	0	1	0	0	1	0.0024665312661313037	0.9593980671302218	0.33085241271810995	0.7587768181334065	0.9558854880386056	1.2191829210924816	1.1912864724509806	1.0706115421505218	0.08428738396112871	0.3659688865094037	2.0747063199652205	0.0	0.9593980671302218	0.33085241271810995	0.7587768181334065	0.0	0.0	1.1912864724509806	0.0	0.0	0.3659688865094037	4.7692006507594564E-4	0.034770489229020145	0.2967333820990033	0.18012741525475712	0.194418151581935	0.3287210510643047	0.06607647714873162	0.24700826724007247	0.026589240428606418	0.03778100421943379	0.15540457055647325	-379.77697479361456	37.207615221377004	40.34339904637853	27.915376494311708	10.77445041899133	2.8481736612778232	1.80262731696438	1.2996642564366117	0.5010482968735192	0.20238216437888648	0.12581657288670872	19	18	18	18	18	18	18	18	18	18	13.106983727004266	
4320000	-47515.63785952443	-47096.306192373406	-419.33166715102556	-46877.9601115594	0.761315654743231	0	1	1	1	0	0	1	0	0	0	0.4381878233899066	0.7688918674160421	0.5092617998737848	0.6157214789489394	0.94971544318808	0.6706471895811601	1.3033295877593174	0.6290985851972866	0.08612868322908257	0.8149883318797936	1.15047462960371	0.0	0.7688918674160421	0.5092617998737848	0.6157214789489394	0.0	0.0	1.3033295877593174	0.0	0.0	0.0	4.134297947360127E-4	0.08687737285287275	0.29906974274145154	0.17952750520180216	0.19292074211066795	0.32848200994607846	0.08985750470644849	0.245339439901703	0.03349100553112686	0.030324061666527565	0.14921085025382866	-400.2109882386242	100.06760320978476	26.356214851480534	20.206586347862185	14.626105487981318	3.9991817574597297	2.9126401351331577	1.2372441704773043	0.4617529754242303	0.23050950988067168	0.07218539299070331	19	18	18	18	18	18	18	18	18	18	6.486370307809773	
4680000	-47555.97090473823	-47109.00690411877	-446.9640006194581	-46893.26557397216	0.9009756233936871	0	1	1	1	1	0	1	0	1	0	0.8802612985044919	0.5670905094896918	0.4858231475219288	1.162987143654642	9.496057952839512E-4	0.9827610377080936	1.9777763605523475	0.7132531197815408	2.021882957528635	1.4478089938658356	2.0715859748848406	0.0	0.5670905094896918	0.4858231475219288	1.162987143654642	9.496057952839512E-4	0.0	1.9777763605523475	0.0	2.021882957528635	0.0	4.512745545712807E-4	0.017126953421525495	0.29811579115465575	0.17905948418748663	0.19760656924657555	0.3252181554112823	0.07621871693161232	0.3314207077702696	0.02178327103659031	0.036497855321911174	0.2170384063177528	-413.0615371933208	54.84131613787471	51.384095919587466	17.998017262776397	9.4740648044392	4.834760137069605	3.8506163616255695	0.6458630732472541	0.7432769557955048	0.39364078016835685	0.2974547690130056	19	18	18	18	18	18	18	18	18	18	51.42429869198458	
5040000	-47517.43569892732	-47094.580167579865	-422.855531347458	-46880.20813558916	0.790340258399034	0	1	1	1	0	1	1	0	1	0	3.2241242333576725	1.202408259210718	0.5350893617907216	0.7352527691788207	1.6049948258768532	0.039361527071362104	3.5593771617922902	1.8135755429600957	0.22840989459081384	0.3277427689027984	2.0645036917927	0.0	1.202408259210718	0.5350893617907216	0.7352527691788207	0.0	0.039361527071362104	3.5593771617922902	0.0	0.22840989459081384	0.0	4.2019620297782065E-4	0.0704844603402708	0.2946230336206703	0.18321497369489148	0.1951644982909584	0.3269974943934799	0.07078132929231375	0.2944830548715235	0.025601884052177566	0.03287960648570229	0.15924107800159873	-386.3886494511341	73.1216025099276	46.1770950047044	14.460162734447827	11.66774471807477	3.0704897357549186	1.1957641152652165	0.6924154110507033	0.3495063236462397	0.678261149931956	0.16863309374568913	19	18	18	18	18	18	18	18	18	18	50.629397662408515	
5400000	-47560.78191350747	-47100.03360649098	-460.74830701649006	-46896.66463035281	0.74906646964072	0	1	1	1	1	0	1	0	0	0	0.4218908224258719	1.0878457558335801	0.9573874273688353	1.7297022881889503	0.7405352037771785	3.3831632041304456	1.3244743595906485	0.17694055786629695	3.501035826578381	3.8886120487651445	1.1459464329382854	0.0	1.0878457558335801	0.9573874273688353	1.7297022881889503	0.7405352037771785	0.0	1.3244743595906485	0.0	0.0	0.0	3.6748751387449114E-4	0.06635865285936093	0.2967620596332698	0.17898020185764785	0.20004712863065902	0.32421060987842343	0.0851657709202582	0.24009886756898907	0.05081394042977847	0.045675754255554195	0.130691093308799	-433.7402504271849	96.48743544353778	43.637817303240844	27.761368628125624	10.833602324093857	4.637966761664961	2.938129548398348	1.1190667444040427	0.689312886242264	0.3951480296242191	0.12221361486346995	19	18	18	18	18	18	18	18	18	18	1.8250912565931714	
5760000	-47551.30417628622	-47114.73159983334	-436.5725764528743	-46913.44071345524	0.6926254321895463	0	1	1	1	0	0	1	0	0	0	1.9892428374190996	0.2770650007034301	0.15622520278912877	0.4008804180352213	0.5315962590383724	0.9393979887692279	1.4705274938317356	0.49212554969956407	1.2474028475685213	0.2235234264641477	2.485025442624159	0.0	0.2770650007034301	0.15622520278912877	0.4008804180352213	0.0	0.0	1.4705274938317356	0.0	0.0	0.0	4.863861719624793E-4	0.06049022428917615	0.3047945499516225	0.17549659522066	0.19115687913968182	0.3285519756880358	0.0665897086730675	0.216431154015627	0.015539313254039679	0.03581948030930929	0.1968382311472772	-414.1247779490804	97.46063005122221	24.66363273448893	9.813090775983422	13.128332988084823	5.22820482655392	2.9102386697518368	1.2533330193184875	1.2815600685462336	0.3490234215666533	0.17035190766428857	19	18	18	18	18	18	18	18	18	18	12.275438133085045	
6120000	-47483.08312772983	-47100.41923372559	-382.66389400423594	-46894.98549679802	0.8659876378431365	1	1	1	1	1	1	0	0	0	1	0.16535914352095266	1.9960316079395541	2.135165638513769	2.745607407451071	0.9611454669196889	2.3274002235422526	0.050022855888907564	1.133476309704337	0.4662477285600423	0.2657978518437797	1.1906740228199821	0.16535914352095266	1.9960316079395541	2.135165638513769	2.745607407451071	0.9611454669196889	2.3274002235422526	0.0	0.0	0.0	0.2657978518437797	4.452807947790708E-4	0.020695543843062245	0.29968266605379607	0.18102415632633875	0.19253169050516858	0.32676148711469677	0.09485943802384698	0.28740787385942473	0.02737538519229946	0.05648427614672897	0.167483828944737	-354.74894884817513	141.35560364065532	29.1555972756082	25.753630611676652	14.332530038812044	2.820763131204069	0.5672754828200857	0.4915164541919952	0.4324756554198313	0.29783829503642667	0.2336682747245158	19	18	18	18	18	18	18	18	18	18	6.029440691247852	
6480000	-47453.206210964876	-47087.20936846168	-365.99684250319507	-46878.999545315215	0.7202542500093544	0	1	1	1	1	0	1	0	0	1	3.245517474246712	0.4654439479583569	0.1680765906538479	0.7880449175367156	0.6984395349625527	0.13805386840414818	0.36115700905063364	0.10645142264285813	0.15150019558000444	1.9340282464378231	3.189217665013259	0.0	0.4654439479583569	0.1680765906538479	0.7880449175367156	0.6984395349625527	0.0	0.36115700905063364	0.0	0.0	1.9340282464378231	4.731606396269972E-4	0.023258797332859	0.2978548816908339	0.18153964649070092	0.19435040050474656	0.32625507131371867	0.053339352172750425	0.23870142607136693	0.03169120309696642	0.04592962130128132	0.182178246666561	-344.0596986085638	49.05112101930767	54.94069158494946	26.05841778449538	11.115577273059218	2.6130613171589605	1.40217357648615	0.9067512914152678	0.3909315227087459	0.22532837080100626	0.09095626481129282	19	18	18	18	18	18	18	18	18	18	4.9912088978070335	
6840000	-47476.79682123128	-47097.40874791667	-379.3880733146051	-46891.12370754067	0.6654693805924261	1	1	1	1	1	0	1	0	0	1	0.9496854921691594	2.196736625271229	1.537285419322096	1.693821925122102	1.2787213579239625	3.748704519722356	1.2731315295015102	0.30334604768547496	1.423690293066167	0.12572680378098589	1.2950109217673764	0.9496854921691594	2.196736625271229	1.537285419322096	1.693821925122102	1.2787213579239625	0.0	1.2731315295015102	0.0	0.0	0.12572680378098589	4.710000494338565E-4	0.001474112057264635	0.29778376065075934	0.17899579102987473	0.1959032605926914	0.3273171877266746	0.07779727502446308	0.23659117144749076	0.024274176043636915	0.030082604939760078	0.1549795871841939	-351.685108886128	42.94125987031638	50.527288908044795	15.616911324117076	11.630128968727336	3.4751707989888	1.679052216211997	0.6622828028326999	0.3685414891624382	0.1483732855103883	0.07415145142190303	19	18	18	18	18	18	18	18	18	18	3.8296775507513936	
