#                <userDataType codeMap="center=0,mid-east=1,north=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Lambda_BI_fin_v22_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.Lambda_BI_fin_v22_seqs	gammaShape.Lambda_BI_fin_v22_seqs	freqParameter.Lambda_BI_fin_v22_seqs.1	freqParameter.Lambda_BI_fin_v22_seqs.2	freqParameter.Lambda_BI_fin_v22_seqs.3	freqParameter.Lambda_BI_fin_v22_seqs.4	rateAC.Lambda_BI_fin_v22_seqs	rateAG.Lambda_BI_fin_v22_seqs	rateAT.Lambda_BI_fin_v22_seqs	rateCG.Lambda_BI_fin_v22_seqs	rateGT.Lambda_BI_fin_v22_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-47943.97318056428	-47557.59255277163	-386.38062779264595	-47342.15604115672	0.6488454749164556	0	1	1	1	1	1	1	0	0	0	1.6756098505578616	0.8059557161966103	0.39690735041673564	0.5262351611416791	0.12734452234828614	1.2665980520900118	1.0148286904367836	0.17210725488988685	0.14086099368515212	0.38413005922934446	1.986313424918177	0.0	0.8059557161966103	0.39690735041673564	0.5262351611416791	0.12734452234828614	1.2665980520900118	1.0148286904367836	0.0	0.0	0.0	5.210590505434846E-4	0.014109314224856671	0.29833819602561135	0.18015112931733823	0.19684016026072193	0.32467051439632827	0.053187459303382444	0.2894605406584457	0.02373102274113081	0.04121778148439784	0.19693134464817583	-365.6061213192667	93.6160872118749	37.03734105856317	12.686493120903757	7.349073359753038	5.389124504677511	1.8180473317510168	0.7823749870348947	0.28759524718239815	0.22612993989575816	0.08064667846866938	19	18	18	18	18	18	18	18	18	18	6.757273531987202	
600000	-47892.234087309036	-47507.377357835394	-384.85672947364094	-47297.23066825395	0.6721787135666559	1	1	1	1	0	1	1	0	0	0	0.35976244024417625	1.3906838643976172	0.4165351063228283	0.8876590221473155	2.3633474084110397	1.527338887531246	1.240268798770487	3.538875120343029	0.06605060630571488	0.7108779827514358	1.855602476619257	0.35976244024417625	1.3906838643976172	0.4165351063228283	0.8876590221473155	0.0	1.527338887531246	1.240268798770487	0.0	0.0	0.0	4.93745600241119E-4	0.0414679605294541	0.2981219154053863	0.17551354504875047	0.19549884779734442	0.33086569174851843	0.0618245926618018	0.24203323017833878	0.028287433327353735	0.021915699814064188	0.16923661572712345	-359.154317675363	92.53268069194715	61.470984694309855	11.098168230855865	5.0704720766147595	3.6698557327288523	1.1098717867377612	1.4859083881052306	0.5053809188916475	0.1414414465561508	0.050202655938277024	19	18	18	18	18	18	18	18	18	18	5.974855284169911	
1200000	-47932.85468701696	-47513.36827431189	-419.4864127050659	-47310.544388929266	0.6769947279336596	1	1	1	1	0	0	0	0	0	0	1.566812549892949	3.408171381893243	1.6364924708433977	2.131175397677901	0.04391926660715751	0.06291750857290683	0.023130413977213517	2.4437855446154946	0.048102035033125067	0.20028023147296112	1.07322627252936	1.566812549892949	3.408171381893243	1.6364924708433977	2.131175397677901	0.0	0.0	0.0	0.0	0.0	0.0	5.214276548850114E-4	0.025995630158192656	0.2996349645298771	0.1793449099736754	0.19733669244330998	0.3236834330531373	0.08714529815361999	0.3315686074869757	0.031014361039121932	0.03927838865968235	0.2305990281598492	-392.44864952554303	74.07611333294501	37.47455034421117	17.201515543872564	7.867441265463866	4.372990478304165	2.7877839054491362	1.5776744969926122	0.3001851402479732	0.2463184080892661	0.21960225575395262	19	18	18	18	18	18	18	18	18	18	12.458625892935796	
1800000	-47904.09477911911	-47505.40650939532	-398.68826972378963	-47307.31931521277	0.6487012296304596	1	1	1	1	1	1	0	1	0	0	0.5503604616583954	1.130273883502479	0.756168972518043	0.9935352072281335	1.2067028146737235	4.636124656610204	0.08695901049602772	0.10859801043799705	0.45701452725979835	1.4746883139439066	1.6992009479905739	0.5503604616583954	1.130273883502479	0.756168972518043	0.9935352072281335	1.2067028146737235	4.636124656610204	0.0	0.10859801043799705	0.0	0.0	4.959590604031123E-4	0.052635408869977765	0.2964516680980114	0.17847926271457826	0.20001484875568798	0.32505422043172216	0.0659236860162524	0.245569326447109	0.0296573712549248	0.0378843703285861	0.16088186557755774	-370.0933898748575	98.44709740267764	29.30913694319188	6.8775535528431915	13.259437142333594	5.187853747512729	3.861450040029597	1.7572458403277662	0.3698517827596759	0.18213422799626236	0.06654245676324358	19	18	18	18	18	18	18	18	18	18	10.498592173830003	
2400000	-47910.12147693799	-47514.22997450237	-395.8915024356158	-47305.388791624675	0.6944151760925695	1	1	1	1	0	0	0	0	0	0	0.6471538218725968	2.8759057968202697	0.8637685225102973	1.6043194049650098	0.44279270430375195	0.13272502318305626	0.7859252608772849	2.5791251188436815	1.2539534957884597	0.6937010767687833	1.194974986474182	0.6471538218725968	2.8759057968202697	0.8637685225102973	1.6043194049650098	0.0	0.0	0.0	0.0	0.0	0.0	5.118074784794705E-4	0.08145407690971466	0.29620054477883345	0.1799481402636781	0.1973716219184189	0.3264796930390693	0.07777091107652975	0.2938762425232249	0.018279709408380005	0.025866227671071534	0.18573976575263096	-371.7266355472076	47.21684339872603	35.76722747562619	21.182135623517627	4.143430532004411	5.68198308121333	2.6789454071427046	1.0891077681772896	0.5125743813492526	0.19674435383049096	0.06911641442715608	19	18	18	18	18	18	18	18	18	18	7.287738530688291	
3000000	-47968.69869388145	-47500.26739906613	-468.4312948153239	-47291.37940619254	0.7824413449260009	1	1	1	1	1	0	0	0	1	1	0.36931493676481064	0.701828958919824	0.12382699553381865	0.7167392747418608	0.5276978576140766	2.131531631939684	1.3357196106905245	0.48805837916470435	0.40386592369585633	1.1675445652305247	1.0683493554889707	0.36931493676481064	0.701828958919824	0.12382699553381865	0.7167392747418608	0.5276978576140766	0.0	0.0	0.0	0.40386592369585633	1.1675445652305247	4.1950600289361513E-4	0.0093364566298158	0.2986811907804241	0.17849139689736612	0.193378843290144	0.3294485690320657	0.06202865273827168	0.2934184521995296	0.034106170518100526	0.03861653736099209	0.21571595745858313	-444.29785165889166	103.3801718410984	86.16136782984663	19.70630143268743	14.360628635116957	5.518686797499874	3.8033190906005836	1.2194089480261516	0.7522927033688406	0.6429481928995574	0.14783407357952136	19	18	18	18	18	18	18	18	18	18	7.8696658585849555	
3600000	-47899.57435423882	-47505.16101501966	-394.413339219164	-47304.80796752956	0.6546128105910423	0	1	1	1	0	1	1	0	0	1	0.0015688886447699191	0.5324435426146016	0.21208688109315627	0.46273206806729733	2.4334181016536367	1.3825305836968893	0.8694867894243977	0.5833330959060041	1.7765825479493256	1.4574322430549824	3.417017589993171	0.0	0.5324435426146016	0.21208688109315627	0.46273206806729733	0.0	1.3825305836968893	0.8694867894243977	0.0	0.0	1.4574322430549824	4.893634961376754E-4	0.04154519150614958	0.29854016438378544	0.1831790854677236	0.19381166024128105	0.3244690899072099	0.103268672684958	0.2826108474681887	0.025387404642187618	0.044107564552325534	0.18786806977637324	-373.03760227752537	97.57129236621843	28.355291131580802	8.741135269470242	5.185967332441026	2.5378585067018076	3.2247899043155286	1.423723607684498	0.6596786561370863	0.29700082705580205	0.07966564324328122	19	18	18	18	18	18	18	18	18	18	1.6077879336638385	
4200000	-47981.62699225109	-47512.84446189433	-468.7825303567557	-47313.989165004146	0.7620808589589505	0	1	1	1	1	0	1	1	1	1	1.3373662993127362	1.4167114064217121	0.5607338021230027	1.036418662749209	0.7852665875560049	0.14847867593596287	1.2122701193771688	0.26712555110179187	1.160871992066934	3.104026267957659	1.759371335843979	0.0	1.4167114064217121	0.5607338021230027	1.036418662749209	0.7852665875560049	0.0	1.2122701193771688	0.26712555110179187	1.160871992066934	3.104026267957659	4.041832355827724E-4	0.0054857796867585325	0.29858510378169073	0.1780563863441948	0.1949527069840612	0.3284058028900534	0.09367138673938712	0.3004909211168664	0.03912310803532622	0.042209595021672625	0.17881877319399356	-439.20027492022064	107.20502678425576	34.75689878873404	15.226249276366238	9.847040388829726	5.233585933235417	4.5570880370867375	1.5112280406232481	0.7494236940933723	0.48527778344527145	0.19403879740496127	19	18	18	18	18	18	18	18	18	18	7.197522689759701	
4800000	-47873.919337241634	-47503.084204251725	-370.83513298990744	-47298.150498998104	0.6043861641454477	1	1	1	1	1	0	0	0	0	1	0.5132689002294336	2.6889940722034114	1.2290995649197327	1.3227721768583705	0.18375643542982745	0.802472634016237	0.4955563844936121	0.11481473092322991	1.067000995429329	0.46395060951552375	0.9255551767395168	0.5132689002294336	2.6889940722034114	1.2290995649197327	1.3227721768583705	0.18375643542982745	0.0	0.0	0.0	0.0	0.46395060951552375	5.133629794405679E-4	0.09976827875111981	0.29954641347884575	0.17969828088567183	0.1975969946239776	0.32315831101150494	0.07001324195580587	0.29658393884756934	0.034874650312203825	0.046106149581130296	0.2415825075245699	-343.76356421116805	67.11291621392147	42.118310449522326	20.4260607058978	5.828610068731998	5.8533876932395605	2.7938941090988973	0.8234195610048515	0.31619754845965836	0.1730714422146791	0.06380927006139517	19	18	18	18	18	18	18	18	18	18	17.289711929532352	
5400000	-47907.675767357585	-47504.0810538252	-403.59471353238513	-47300.87337766096	0.6839133831529292	1	1	1	1	0	0	1	0	0	0	0.4205427698105913	0.5797066387993924	0.4928707864543726	0.9318966195251416	0.010120104306687975	0.946548499288768	0.04427239988058264	0.0772586455967657	0.1750763825280338	0.6565473739507556	0.8842352706640002	0.4205427698105913	0.5797066387993924	0.4928707864543726	0.9318966195251416	0.0	0.0	0.04427239988058264	0.0	0.0	0.0	5.160948435054672E-4	0.1752529183010155	0.29620658417058754	0.17919171490387178	0.19506587553368418	0.3295358253918566	0.09509809585874533	0.3411176136019282	0.027595422263531653	0.031797178693173014	0.20358061380700104	-388.7705973624886	60.68608093447252	17.31000964202672	31.60768107017921	10.853357014378025	3.175574376294867	1.893323759789415	1.7058214525188855	0.4839432819905244	0.19236255083216133	0.05159949498197615	19	18	18	18	18	18	18	18	18	18	2.6982959686643357	
