#                <userDataType codeMap="center=0,north=1,north-east=2,south=3,south-east=4,? = 0 1 2 3 4 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="5"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="5" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.2</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG1_BI_fin_v22_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG1_BI_fin_v22_seqs	gammaShape.SubG1_BI_fin_v22_seqs	freqParameter.SubG1_BI_fin_v22_seqs.1	freqParameter.SubG1_BI_fin_v22_seqs.2	freqParameter.SubG1_BI_fin_v22_seqs.3	freqParameter.SubG1_BI_fin_v22_seqs.4	rateAC.SubG1_BI_fin_v22_seqs	rateAG.SubG1_BI_fin_v22_seqs	rateAT.SubG1_BI_fin_v22_seqs	rateCG.SubG1_BI_fin_v22_seqs	rateGT.SubG1_BI_fin_v22_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
4500000	-42743.88635071947	-42603.22163127562	-140.66471944384614	-42499.09085152869	0.614363774178394	1	1	1	0	1	0	1	0	1	0	0.3585988559459819	0.165138374931631	0.15866883203415957	1.1287529133460987	0.16226200987656395	1.1266663214230968	0.15344902224696927	0.7449326377674991	0.29812429337077245	0.18767703907324274	2.5344530452168312	0.3585988559459819	0.165138374931631	0.15866883203415957	0.0	0.16226200987656395	0.0	0.15344902224696927	0.0	0.29812429337077245	0.0	6.044282353623558E-4	0.02979617704816674	0.3012641066878218	0.18165673093662305	0.19669284084008193	0.3203863215354728	0.11021151750544626	0.28519171810529703	0.03176299369660218	0.0023863217257191057	0.20000405202644367	-127.25793168321022	2.855470116660016	2.21703705737643	3.4902503164595156	3.1084936642554393	1.3841053133734793	0.815442849997851	1.0152581424526412	0.39290808682113526	0.2522251153688248	0.05558578147480789	13	13	13	13	13	13	12	12	12	12	1.6072066155529532	
4950000	-42749.17090481315	-42604.505209305324	-144.66569550782881	-42484.16124537337	0.6083133315421191	1	1	1	0	0	0	1	0	1	0	1.1347408820633924	1.2341817044385175	0.7927835580021527	0.1958221250245098	0.41026761549385726	1.444425458556462	0.040909319015645415	1.6778946837339896	0.9114579328454229	0.4921137314536696	1.6215824812785586	1.1347408820633924	1.2341817044385175	0.7927835580021527	0.0	0.0	0.0	0.040909319015645415	0.0	0.9114579328454229	0.0	6.059737038921209E-4	0.1104455423671227	0.2979210750712554	0.18081378545783577	0.19679202078437083	0.3244731186865374	0.0730554083753908	0.20668716184510427	0.017152092493627487	0.004411454998121956	0.12737934232480183	-129.88828258562307	2.189691022109917	5.522813760397012	5.701111232323792	2.204189961021695	1.0227005838597873	0.6934589609321558	0.33457906365639495	0.8952366716718345	0.18930931729145709	0.09194405429403057	13	13	13	13	13	13	12	12	12	12	1.680845930503401	
5400000	-42745.9810996487	-42597.146746965074	-148.83435268362834	-42493.25554526504	0.6952732843155427	1	1	1	0	1	0	1	1	1	0	1.276492280730691	1.5103902407028786	1.1461161539625608	0.2352050952614848	0.4663611417417295	0.14931291831339738	0.2461824109254312	0.01815656262986137	1.5692563216917887	0.6103108138891437	2.3898869869912023	1.276492280730691	1.5103902407028786	1.1461161539625608	0.0	0.4663611417417295	0.0	0.2461824109254312	0.01815656262986137	1.5692563216917887	0.0	4.933441972096559E-4	0.32529178804073966	0.29783201707867113	0.1819058277536953	0.19447515371563612	0.3257870014519969	0.058790005402770816	0.2316197198530691	0.03369755623840354	0.0010843920598307298	0.14751504420019232	-131.99373846456223	2.4413118730420407	4.183211714336417	3.0152613967136266	4.029669499796847	1.2344422778728152	0.6672676521084965	1.1130347177529836	0.6087201476567289	0.2694562692081383	0.1890861008480701	13	13	13	13	13	13	12	12	12	12	2.3062929504073915	
5850000	-42787.97271284477	-42589.56671738466	-198.40599546011416	-42487.4496245052	0.6829949535766643	1	1	1	0	1	1	0	0	1	0	0.7038451254577794	2.2163321938096368	1.5947270417510813	1.1566580809805826	2.205329767943097	0.058814877763889224	0.51228586887032	2.613649059734936	1.2383311759888664	1.635287186394772	2.0710719735451533	0.7038451254577794	2.2163321938096368	1.5947270417510813	0.0	2.205329767943097	0.058814877763889224	0.0	0.0	1.2383311759888664	0.0	4.566006385382416E-4	0.014475298971263132	0.29681651271247933	0.18368695580027888	0.19566323706461372	0.3238332944226273	0.09110979818216422	0.19988741240707153	0.016494767574861728	0.019660761753301146	0.198260413070189	-174.01386036283375	4.216029932606711	13.712771239916794	3.246970544273271	1.3892415168075951	3.577262404465776	2.122540764353896	0.8630069906929781	0.35909161903304815	0.30867483416085767	0.12888383493635092	13	13	13	13	13	13	12	12	12	12	2.4321892238805387	
6300000	-42790.73681309492	-42608.35870653689	-182.3781065580284	-42493.91957953118	0.7098125991476189	1	1	0	0	1	1	0	1	1	1	0.3804745327128266	1.3649687045581234	0.4520641415678087	0.5766852002281108	0.6013502574923533	0.8411260488562701	1.7185431393212274	0.6558804151498552	1.116867656079519	2.57575893177521	3.199717488958848	0.3804745327128266	1.3649687045581234	0.0	0.0	0.6013502574923533	0.8411260488562701	0.0	0.6558804151498552	1.116867656079519	2.57575893177521	4.918534065370664E-4	0.0017213240696867134	0.2949682503965764	0.1852624394954058	0.19638587921159908	0.32338343089641786	0.0826321710164815	0.2241439891743258	0.041494298172498466	0.004935517875376504	0.17857884742087124	-159.15037686287752	4.56625551337385	5.524794816801309	5.039572666790191	3.7550159391879987	0.9436607286399044	1.3446674205665545	0.5040434980378957	0.613118813052446	0.4556160224354523	0.13363970018507634	13	13	13	13	13	13	12	12	12	12	3.73860716690817	
6750000	-42747.74613543633	-42603.83635775141	-143.90977768492365	-42510.34967975388	0.6233702727730204	1	1	1	0	1	0	0	0	1	1	0.9352636119726154	1.1258000128148236	0.6829078646687047	0.2386330257121336	1.2861987033282938	0.5390309786313037	0.5353561681284669	0.005941222998805211	0.6535844258590708	4.178210155679261	2.1348502938780785	0.9352636119726154	1.1258000128148236	0.6829078646687047	0.0	1.2861987033282938	0.0	0.0	0.0	0.6535844258590708	4.178210155679261	5.849519795410374E-4	0.02421855895711666	0.300581261598494	0.18268185096899503	0.19664395433955523	0.32009293309295495	0.057361007083561504	0.3207123359932914	0.017781123037179714	0.0167257518753412	0.1533197289077756	-124.91856815142866	2.130510907700429	2.6903232067389378	7.327680201959179	2.285655535546752	0.8702800447890187	0.6364158197574833	0.2890187129197984	0.28610498578901583	0.32440721244043247	0.15754861980904059	13	13	13	13	13	13	12	12	12	12	1.2505190702841282	
7200000	-42774.77541094028	-42609.76455737918	-165.01085356110224	-42506.80398640252	0.707117918474763	1	1	1	1	0	0	1	0	1	1	0.694603210351389	1.175678729556321	1.5169876183868127	0.7914946822477328	1.5083926609314007	0.34400516071470993	0.873976337100402	0.43368793578805365	1.2052548213592142	0.8361095892159877	1.6609823015047636	0.694603210351389	1.175678729556321	1.5169876183868127	0.7914946822477328	0.0	0.0	0.873976337100402	0.0	1.2052548213592142	0.8361095892159877	5.477166522029054E-4	0.07227266177097684	0.30141426510422337	0.17984740103764849	0.19437832462336707	0.32436000923476027	0.08543772107855384	0.2879147324440697	0.04531505460553668	0.01616577483889666	0.12478961753663029	-143.66038395190603	2.3795241144269057	7.0498616265825635	6.04066986910308	3.311811851123771	1.7753388410845317	0.7612690597511035	0.5391490613970024	0.4355710604077902	0.24515623627266211	0.1361759090866975	13	13	13	13	13	13	12	12	12	12	2.0370193141931345	
7650000	-42750.861816496326	-42577.43678342401	-173.4250330723153	-42483.788341984415	0.613091806580807	1	1	1	0	0	0	1	0	1	0	2.473973842591801	0.909863432354477	0.6239167120099883	1.002224273461916	0.34414281743116315	3.273534225641883	0.9644314826911958	0.9693865343025586	0.9316726805802492	3.5818292492559185	1.521719483765119	2.473973842591801	0.909863432354477	0.6239167120099883	0.0	0.0	0.0	0.9644314826911958	0.0	0.9316726805802492	0.0	5.082875925436466E-4	0.0249442115306983	0.2975951908193469	0.18226195651168436	0.1976473999675567	0.32249545270141144	0.06599490425995679	0.34281795667844306	0.039179417752762194	0.037539685988643635	0.23695740609296628	-150.0826126769373	1.4911233205666605	2.507758917072123	8.863639083070158	2.8102787328133596	0.9420231199334427	0.8191483100356405	1.1215441204058034	0.2809887817143436	0.2628291760877368	0.0841007710648107	13	13	13	13	13	13	12	12	12	12	0.4181602564407243	
8100000	-42761.72735423681	-42601.73682558485	-159.990528651966	-42498.68710393993	0.6012526891546179	1	1	1	0	1	0	1	0	1	0	0.90176864898947	2.7860250328084515	0.6922194752650581	0.3871644684931528	1.5436653964975207	2.753026268874379	0.12651633016996247	0.5228982373497439	0.3981399470758486	0.478686977646032	1.3782861769214065	0.90176864898947	2.7860250328084515	0.6922194752650581	0.0	1.5436653964975207	0.0	0.12651633016996247	0.0	0.3981399470758486	0.0	5.368357032693674E-4	0.12892965227600942	0.29752223752515616	0.18461802067370178	0.1929494301865165	0.324910311614625	0.0952816954026915	0.34278129771289684	0.028729586199944753	0.0018601072617250543	0.14703186565766133	-138.42105391918275	3.166855624126879	3.6810035660647475	3.719191417438677	2.975831356587798	1.67350562297745	1.4231642085184137	0.6776643858385153	0.2979049158099463	0.18861900948311297	0.04093356845975499	13	13	13	13	13	13	12	12	12	12	5.454910486224585	
8550000	-42744.73479166	-42595.17493248881	-149.55985917119284	-42487.71613983724	0.6019874818637979	1	1	1	0	1	0	1	1	1	1	1.4130631420611475	1.5976708136234932	0.6264571947799626	0.3662704539983477	0.9948393209343191	0.4382039876789728	0.31624066395101735	0.09777126706394763	0.5991029314441563	1.8912335565296807	2.8220955281348163	1.4130631420611475	1.5976708136234932	0.6264571947799626	0.0	0.9948393209343191	0.0	0.31624066395101735	0.09777126706394763	0.5991029314441563	1.8912335565296807	5.204361179993918E-4	0.033142023549609295	0.3026325934954656	0.17962430863959328	0.19610708831114204	0.32163600955379856	0.06532881154885359	0.2206161072383155	0.03989073765395863	0.0030949216683424374	0.11523563691084399	-130.06507713756994	1.9265036885047997	4.423553628941621	6.277194481559145	1.9544042358224785	1.1108171601441559	0.8180642318897683	0.5458296723016473	0.3901803096704901	0.3642553419125284	0.09499042916305667	13	13	13	13	13	13	12	12	12	12	1.3858485898148587	
