#                <userDataType codeMap="center=0,mid-east=1,north=2,north-east=3,south=4,south-east=5,? = 0 1 2 3 4 5 " codelength="-1" id="traitDataType.location" spec="beast.evolution.datatype.UserDataType" states="6"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="geoSiteModel.s:location" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:location" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:location" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:location" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="svs.s:location" rateIndicator="@rateIndicator.s:location" rates="@relativeGeoRates.s:location" spec="beast.evolution.substitutionmodel.SVSGeneralSubstitutionModel">
#                    <frequencies id="traitfreqs.s:location" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="6" id="traitfrequencies.s:location" name="frequencies" spec="beast.core.parameter.RealParameter">0.16666666666666666</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@traitClockRate.c:location" id="StrictClockModel.c:location" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SubG2_BI_fin_v22_seqs	TreeHeight	rateIndicator.location.1	rateIndicator.location.2	rateIndicator.location.3	rateIndicator.location.4	rateIndicator.location.5	rateIndicator.location.6	rateIndicator.location.7	rateIndicator.location.8	rateIndicator.location.9	rateIndicator.location.10	rateIndicator.location.11	rateIndicator.location.12	rateIndicator.location.13	rateIndicator.location.14	rateIndicator.location.15	relativeGeoRates.location.1	relativeGeoRates.location.2	relativeGeoRates.location.3	relativeGeoRates.location.4	relativeGeoRates.location.5	relativeGeoRates.location.6	relativeGeoRates.location.7	relativeGeoRates.location.8	relativeGeoRates.location.9	relativeGeoRates.location.10	relativeGeoRates.location.11	relativeGeoRates.location.12	relativeGeoRates.location.13	relativeGeoRates.location.14	relativeGeoRates.location.15	traitClockRate.location	geoSubstModelLogger.location.relGeoRate_center_mid-east	geoSubstModelLogger.location.relGeoRate_center_north	geoSubstModelLogger.location.relGeoRate_center_north-east	geoSubstModelLogger.location.relGeoRate_center_south	geoSubstModelLogger.location.relGeoRate_center_south-east	geoSubstModelLogger.location.relGeoRate_mid-east_north	geoSubstModelLogger.location.relGeoRate_mid-east_north-east	geoSubstModelLogger.location.relGeoRate_mid-east_south	geoSubstModelLogger.location.relGeoRate_mid-east_south-east	geoSubstModelLogger.location.relGeoRate_north_north-east	geoSubstModelLogger.location.relGeoRate_north_south	geoSubstModelLogger.location.relGeoRate_north_south-east	geoSubstModelLogger.location.relGeoRate_north-east_south	geoSubstModelLogger.location.relGeoRate_north-east_south-east	geoSubstModelLogger.location.relGeoRate_south_south-east	clockRate.SubG2_BI_fin_v22_seqs	gammaShape.SubG2_BI_fin_v22_seqs	freqParameter.SubG2_BI_fin_v22_seqs.1	freqParameter.SubG2_BI_fin_v22_seqs.2	freqParameter.SubG2_BI_fin_v22_seqs.3	freqParameter.SubG2_BI_fin_v22_seqs.4	rateAC.SubG2_BI_fin_v22_seqs	rateAG.SubG2_BI_fin_v22_seqs	rateAT.SubG2_BI_fin_v22_seqs	rateCG.SubG2_BI_fin_v22_seqs	rateGT.SubG2_BI_fin_v22_seqs	BICEPS	PopSizes.1	PopSizes.2	PopSizes.3	PopSizes.4	PopSizes.5	PopSizes.6	PopSizes.7	PopSizes.8	PopSizes.9	PopSizes.10	GroupSizes.1	GroupSizes.2	GroupSizes.3	GroupSizes.4	GroupSizes.5	GroupSizes.6	GroupSizes.7	GroupSizes.8	GroupSizes.9	GroupSizes.10	BICEPSPopSize	
0	-44674.83227428168	-44367.40430506931	-307.4279692123739	-44200.063185090075	0.9394429399636195	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1.2966098197983649	0.409412312557313	2.0567773099052244	0.0214384940891424	0.595489818405605	2.4094579592900947	0.46602623288266914	1.074740535527523	2.973608834928875	0.6932691254827514	0.02634337854879862	0.7459494944656597	0.9323382473123061	1.5624254162549411	3.0245142668478504	3.1365146704562736	0.0	0.0	2.0567773099052244	0.0214384940891424	0.595489818405605	0.0	0.46602623288266914	0.0	2.973608834928875	0.6932691254827514	0.0	0.0	0.9323382473123061	0.0	0.0	3.3270312800339825E-4	0.06635175316752678	0.2925816904317751	0.1809234143881472	0.19710838211258225	0.3293865130674947	0.0696634937725824	0.27658984966259836	0.04408115879013865	0.03628823635987432	0.18158194093133004	-276.57365588962625	36.98949756096509	43.28911316887989	22.42190652129654	8.358199284097603	2.0731255324201756	1.7375446105616195	0.5950796731309891	0.38906363215561834	0.7801552888731164	0.5999741606919827	12	12	12	12	12	12	12	12	12	11	2.5886407418976134	
300000	-44687.752977561824	-44373.67051205228	-314.08246550954055	-44212.8740943429	1.0100805567477344	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0.10366396750859495	0.9214284859878081	2.776954222050447	1.0967559205134687	0.599297859829444	1.3425947317797944	0.9621739818027507	5.350318302388823	0.06238923603484617	0.4432616348909013	1.2194427289255405	0.3565542098698303	1.583322636626458	0.5764045739710171	1.9025814436222501	1.668933129321697	0.0	0.9214284859878081	2.776954222050447	0.0	0.0	0.0	0.9621739818027507	0.0	0.0	0.4432616348909013	0.0	0.0	1.583322636626458	0.5764045739710171	0.0	3.596725702657061E-4	0.03760486455021976	0.2949771014513012	0.1815290718827911	0.20065569460074933	0.3228381320651575	0.047279661523489926	0.26562246803558026	0.04384560509353682	0.01965643829322114	0.18050846605410734	-277.69508718323823	107.09638325477897	20.87381000264786	20.071892803587097	15.580511336997471	6.988147471557008	1.3476197818905373	1.4029991902239523	0.8258695426521245	0.6890731224080999	0.42521084945646276	12	12	12	12	12	12	12	12	12	11	20.663779026289163	
600000	-44667.910606295925	-44379.32110355651	-288.5895027394128	-44216.536397078045	1.0158721443059635	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1.414293253401713	0.8353559851985204	1.421851304144859	2.9142115214105893	0.07589627422105606	0.6417498675361897	2.4352910656298055	2.871982294143367	0.38156840418335636	1.6832491308121023	1.630905309150959	1.8419026508523269	0.6202112875113946	1.8397786465615096	1.340651447570924	3.2960388801488505	0.0	0.8353559851985204	1.421851304144859	0.0	0.0	0.6417498675361897	2.4352910656298055	2.871982294143367	0.38156840418335636	0.0	0.0	0.0	0.0	0.0	0.0	3.2340844575359594E-4	0.11312695773608131	0.2995667443647591	0.1796377135757345	0.1980941892893987	0.3227013527701071	0.05179553175805486	0.26326451123599315	0.021806236158573238	0.013632481246747496	0.16512443970892757	-250.7749999928182	54.91732242758452	22.317710434326244	17.554329073845253	14.066654046197497	2.6955629069843288	2.277066478702601	0.4269048172324667	0.5870100218411017	0.30216760603087117	0.14941291592042705	12	12	12	12	12	12	12	12	12	11	16.629536949288266	
900000	-44701.21342422847	-44380.865478940985	-320.34794528748415	-44216.29836119452	1.0331798161565247	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0.64762600367106	0.4288465023487324	3.477289395142954	0.2893906190961103	0.8416440787501186	0.46653962587811487	0.2570382628079209	1.8825566410819778	0.16075232633274814	0.4622851031214895	4.497309522990819	2.0803183829787417	0.3541344652209651	0.9120217306900996	0.7591715849026284	2.4980141269553577	0.0	0.0	3.477289395142954	0.0	0.8416440787501186	0.0	0.2570382628079209	0.0	0.0	0.4622851031214895	0.0	0.0	0.3541344652209651	0.0	0.0	3.379290740748338E-4	0.04375440837298505	0.29756955737483937	0.18195760574781483	0.19799359851254494	0.3224792383648004	0.05202605232610271	0.3044431849617415	0.03903994727386402	0.03230979949339757	0.1555642702385103	-289.408458307909	60.795401037564204	48.62018968496867	33.948503484676614	6.268876875497282	6.156781474066141	2.9756170619491478	1.426635450787226	0.6968759314388856	0.420828575303787	0.20336139992584398	12	12	12	12	12	12	12	12	12	11	7.337598461430909	
1200000	-44663.21326897114	-44369.29985292447	-293.91341604667315	-44207.86205572116	1.1780844503555106	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1.4930695263297717	1.9675881613644863	2.1241128821760924	1.2068967339887096	0.6309434823928803	0.5711549269886149	0.9649757312159511	3.4410939362480337	0.9263789441232599	0.7330420715043543	0.11567976885070239	0.24158671748427352	0.4030573987051333	1.0193731621791837	0.36480921780131714	3.9102462189945486	0.0	0.0	2.1241128821760924	0.0	0.6309434823928803	0.0	0.9649757312159511	3.4410939362480337	0.0	0.7330420715043543	0.11567976885070239	0.0	0.0	0.0	0.0	3.694005332762256E-4	0.04051498774274152	0.29651985869252323	0.18562091068174608	0.1925773263419549	0.3252819042837753	0.06470038293400439	0.28941679024552047	0.027147470988165192	0.02188127226482291	0.1631066963589406	-264.0198597421181	26.69107222233355	14.378672125289777	31.601650028419844	14.234617406976987	4.8501149048703835	2.321605789262906	0.7929015600900851	0.45119417755305674	0.7774901916185046	0.3589399376876535	12	12	12	12	12	12	12	12	12	11	7.26853827312665	
1500000	-44655.49815406397	-44387.26689771871	-268.23125634525707	-44226.55065180332	0.8193811152369654	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0.12705973181883926	0.9895217922611116	0.9386313034409284	0.5798782236594462	0.4504177679064022	0.5341466767096191	0.6573060429459028	2.4392121819437635	0.9556145981857727	0.28842518698238134	0.6903087866455334	1.0467296460826807	0.8549407134258977	0.02798061976193277	1.0987455297217201	1.8629262350183027	0.12705973181883926	0.9895217922611116	0.9386313034409284	0.5798782236594462	0.4504177679064022	0.0	0.6573060429459028	0.0	0.0	0.0	0.0	0.0	0.8549407134258977	0.0	1.0987455297217201	4.5026034892016144E-4	0.2539828377728985	0.30288530759330456	0.17914016196046817	0.19376125460319785	0.32421327584302895	0.023080746090964315	0.20286373257259196	0.03682073964858564	0.027005399440997477	0.15605006257007994	-246.26762942332448	37.99711742268126	21.94796887315562	7.741844801989106	8.973636097191207	7.49200566714742	4.624446141422928	2.557753836287915	0.3757985338570556	0.24663073875192582	0.13323499885544265	12	12	12	12	12	12	12	12	12	11	1.2931575827622102	
1800000	-44648.83175804152	-44375.885263140764	-272.94649490074926	-44214.391225493026	0.9753618321050713	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0.2009536218948717	0.3928629706951342	1.0056552707159887	0.5018141831602382	0.5485037188146094	0.6762082207582767	0.7422725035469593	0.5623958614805343	2.5180205787926133	0.4253724467097263	0.8604225845001413	0.9574417856643671	0.5886252598528954	0.7369351258320208	0.13563596015685378	1.8364513643578868	0.0	0.3928629706951342	1.0056552707159887	0.5018141831602382	0.0	0.0	0.7422725035469593	0.0	0.0	0.4253724467097263	0.0	0.0	0.5886252598528954	0.7369351258320208	0.0	4.2404022570656226E-4	0.035207203015017265	0.3003924046004557	0.1789584937119884	0.19287817030516824	0.3277709313823873	0.031532747669876314	0.2749650971736349	0.026913386688839958	0.0165321654682403	0.17308993110263232	-248.49763413395897	38.77254035873986	16.496259240066806	9.210752989767377	4.46114074464541	6.055356476376374	2.088301103175133	1.3770876464501882	0.9278270613205976	0.8255883701065067	0.2013665718275053	12	12	12	12	12	12	12	12	12	11	8.509732812049302	
2100000	-44653.41419889294	-44380.70266061678	-272.711538276161	-44226.44394949529	0.7810402388676803	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	3.1025866179764403	1.0217242547153575	2.442442280158398	2.0963022121531867	4.127116043238231	0.5975698689007384	0.794825225030791	0.6777113373242407	1.6140661185786191	0.6167786216995143	0.6152945596080803	1.0528776088871097	0.0343180373543256	0.15695343230444928	1.0656408982360435	1.7473906883410708	0.0	1.0217242547153575	2.442442280158398	2.0963022121531867	0.0	0.0	0.794825225030791	0.0	0.0	0.6167786216995143	0.0	0.0	0.0	0.0	1.0656408982360435	3.6421362958976157E-4	0.07196838257183716	0.2993892496089538	0.18022664851637615	0.19477275966058025	0.3256113422140895	0.07317628903803124	0.337349363065327	0.0519559089034865	0.008743329936950612	0.15739206278728032	-234.35357013494433	47.6309739473347	19.64584038924716	17.582202673798996	6.552928565090975	1.6603264838029468	0.8589523558783008	0.7044176787979844	0.5479436047993331	0.772959902633869	0.19380151040279148	12	12	12	12	12	12	12	12	12	11	27.09709425126427	
2400000	-44673.80861753419	-44388.9249633629	-284.8836541712878	-44218.15107975996	0.9776668046606466	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1	0.06314978214849591	0.7538652997869203	2.579429141694245	1.7881717450551624	0.9778338573168164	0.026943704811185597	1.3847904040748187	1.3515815111057816	0.5972376399087033	1.1192875237330002	0.9064350974882509	3.79737139292265	0.2627860908282324	1.6724866766513713	0.6000901909198704	2.2867729978581175	0.0	0.7538652997869203	2.579429141694245	1.7881717450551624	0.0	0.0	1.3847904040748187	0.0	0.5972376399087033	1.1192875237330002	0.9064350974882509	0.0	0.0	0.0	0.6000901909198704	3.5833899774794165E-4	0.03467618113916543	0.29674227126562985	0.18275592820934522	0.1934198751289071	0.3270819253961174	0.07067968255198732	0.26913819565796626	0.03329698675903123	0.08526960419979324	0.21301090895101465	-249.155250787848	44.953276722761046	31.593103376840777	19.30900659997231	7.0383952067378726	4.477375534628903	1.3839345132310175	0.9162110048424158	0.5625593644867511	0.20028991369777663	0.22727522937995218	12	12	12	12	12	12	12	12	12	11	8.158619417906227	
2700000	-44655.67283492281	-44372.29051589839	-283.3823190244155	-44221.03573838003	0.8383640198320623	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0.901363414879554	1.2570605361350498	1.7093439552564367	0.4880706008264039	1.0153551205417963	0.8174383629723686	1.223354927389299	0.13235664661086385	0.2736313932747188	0.17500356116285867	1.4135298636245681	1.7791363519705277	1.2818891922683386	0.5353544897634436	0.7634124992487675	1.844390052407056	0.0	1.2570605361350498	1.7093439552564367	0.4880706008264039	0.0	0.0	1.223354927389299	0.13235664661086385	0.0	0.17500356116285867	0.0	0.0	0.0	0.5353544897634436	0.7634124992487675	4.072330714441575E-4	0.12566173680052287	0.30227803408605547	0.17854370213981302	0.19484714714731557	0.32433111662681563	0.06279339658774255	0.3088580503378179	0.03454163711025689	0.013709644990333872	0.13910060533834226	-257.43314049143476	33.901058327148384	21.574582603026638	15.294682062520506	5.687252256716791	2.815194008091152	2.264170581425947	1.1762142475601658	0.8374119166154416	0.5719668507813609	0.19081558802777845	12	12	12	12	12	12	12	12	12	11	2.624658329186222	
3000000	-44669.28431455957	-44375.267715783775	-294.0165987757952	-44210.630709977275	1.0119512628801464	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	3.0039316597653034	0.8163886895636452	3.0778194298158468	0.1807795002420245	0.918203419040934	0.898302158567728	0.35873711501634814	0.34710029849843405	0.09072474105548668	0.09471918346069366	0.4589533008245737	0.6931529886904616	1.1529855541607699	0.5434690532694039	0.18788889034418552	1.9162955585153747	0.0	0.8163886895636452	3.0778194298158468	0.0	0.918203419040934	0.0	0.35873711501634814	0.0	0.0	0.0	0.4589533008245737	0.0	1.1529855541607699	0.0	0.18788889034418552	3.944054107211248E-4	0.025505363211078085	0.299047939887423	0.18150392127558648	0.194407680286569	0.3250404585504212	0.05785377169633657	0.2684259789698094	0.046112546429713464	0.008856168260228961	0.152071580295298	-270.46044671690805	68.77386446289235	17.040344508612822	13.24589177680447	11.443973990027908	5.2867517943000895	2.3398841369956194	1.7524633547282873	0.870651462960425	0.7281865555812028	0.1492424457634578	12	12	12	12	12	12	12	12	12	11	3.0075914063275704	
